25.0-75.0 random split:	Precision: 0.0691094076001594	Recall: 0.7861333333333334	F1: 0.12704979852177473
50.0-50.0 random split:	Precision: 0.0466255311997311	Recall: 0.7768	F1: 0.08797082738782813
50.0-50.0 random split:	Precision: 0.047585925694960785	Recall: 0.7936	F1: 0.08978797547122847
60.0-40.0 random split:	Precision: 0.03808047285676219	Recall: 0.786	F1: 0.07264157482498095
75.0-25.0 random split:	Precision: 0.02415708247321341	Recall: 0.7864	F1: 0.04687425492346574
90.0-10.0 random split:	Precision: 0.009923454758520956	Recall: 0.796	F1: 0.019602531583224565
95.0-5.0 random split:	Precision: 0.004961535570200717	Recall: 0.792	F1: 0.00986129441940384
20.0-80.0 random split:	Precision: 0.07355827647443686	Recall: 0.787	F1: 0.13454141379605095
20.0-80.0 random split:	Precision: 0.07344500956558257	Recall: 0.787	F1: 0.13435192693440315
20.0-80.0 random split:	Precision: 0.0736913315293459	Recall: 0.78975	F1: 0.13480413075019204
15.0-85.0 random split:	Precision: 0.07791060049304618	Recall: 0.788235294117647	F1: 0.14180494412461903
10.0-90.0 random split:	Precision: 0.08140557046358841	Recall: 0.782	F1: 0.1474606101240362
5.0-95.0 random split:	Precision: 0.08606141645149391	Recall: 0.7858947368421053	F1: 0.1551344387649088
50.0-50.0 random split:	Precision: 0.048716745962608055	Recall: 0.2908	F1: 0.08345290707685245
50.0-50.0 random split:	Precision: 0.04726392251815981	Recall: 0.3904	F1: 0.08431965442764579
50.0-50.0 random split:	Precision: 0.04740965013456363	Recall: 0.7892	F1: 0.0894460059842234
50.0-50.0 random split:	Precision: 0.04744972731422531	Recall: 0.79	F1: 0.08952247127348549
50.0-50.0 random split:	Precision: 0.04716890595009597	Recall: 0.7864	F1: 0.08899954730647351
